"","pol_ID_parallel","V1","V2","lon_centroid_parallel","lat_centroid_parallel","state_segment","point","latitude","longitude","radians_parallel","length_parallel","radians_orthogonal","length_orthogonal","perp_slope","slope","end_longitude","end_latitude","chunk","lead_lat","lead_lon","lead_end_lat","lead_end_lon","state"
"41","chunk_2_15",-45.77,-1.1,-43.444999975,-1.14500005,"MA1",274,-1.1,-45.77,0,4.5,1.07827699736853,3.55,1.86348623853211,-0.53662859393462,-41.27,-1.1,2,-1.1900001,-45.57,-1.1900001,-41.1699999,"MA"
"42","chunk_2_15",-45.57,-1.1900001,-43.444999975,-1.14500005,"MA1",274,-1.1,-45.77,0,4.5,1.07827699736853,3.55,1.86348623853211,-0.53662859393462,-41.27,-1.1,2,-1.1900001,-45.57,-1.1900001,-41.1699999,"MA"
"43","chunk_2_15",-41.1699999,-1.1900001,-43.444999975,-1.14500005,"MA1",274,-1.1,-45.77,0,4.5,1.07827699736853,3.55,1.86348623853211,-0.53662859393462,-41.27,-1.1,2,-1.1900001,-45.57,-1.1900001,-41.1699999,"MA"
"44","chunk_2_15",-41.27,-1.1,-43.444999975,-1.14500005,"MA1",274,-1.1,-45.77,0,4.5,1.07827699736853,3.55,1.86348623853211,-0.53662859393462,-41.27,-1.1,2,-1.1900001,-45.57,-1.1900001,-41.1699999,"MA"
"45","chunk_2_16",-45.57,-1.1900001,-44.2799989775,-1.25,"MA1",233,-1.1900001,-45.57,0,4.4000001,1.07827699736853,3.54,1.86348623853211,-0.53662859393462,-41.1699999,-1.1900001,2,-1.3099999,-45.349998,-1.3099999,-45.02999801,"MA"
"46","chunk_2_16",-45.349998,-1.3099999,-44.2799989775,-1.25,"MA1",233,-1.1900001,-45.57,0,4.4000001,1.07827699736853,3.54,1.86348623853211,-0.53662859393462,-41.1699999,-1.1900001,2,-1.3099999,-45.349998,-1.3099999,-45.02999801,"MA"
"47","chunk_2_16",-45.02999801,-1.3099999,-44.2799989775,-1.25,"MA1",233,-1.1900001,-45.57,0,4.4000001,1.07827699736853,3.54,1.86348623853211,-0.53662859393462,-41.1699999,-1.1900001,2,-1.3099999,-45.349998,-1.3099999,-45.02999801,"MA"
"48","chunk_2_16",-41.1699999,-1.1900001,-44.2799989775,-1.25,"MA1",233,-1.1900001,-45.57,0,4.4000001,1.07827699736853,3.54,1.86348623853211,-0.53662859393462,-41.1699999,-1.1900001,2,-1.3099999,-45.349998,-1.3099999,-45.02999801,"MA"
"49","chunk_2_17",-45.349998,-1.3099999,-44.0799995025,-1.28499995,"MA1",273,-1.3099999,-45.349998,0,0.31999999,1.07827699736853,3.6300001,1.86348623853211,-0.53662859393462,-45.02999801,-1.3099999,2,-1.26,-44.950001,-1.26,-40.990001,"MA"
"50","chunk_2_17",-44.950001,-1.26,-44.0799995025,-1.28499995,"MA1",273,-1.3099999,-45.349998,0,0.31999999,1.07827699736853,3.6300001,1.86348623853211,-0.53662859393462,-45.02999801,-1.3099999,2,-1.26,-44.950001,-1.26,-40.990001,"MA"
