"","pol_ID_parallel","pol_ID_orthogonal","well_ID","POCO","CADASTRO","OPERADOR","POCO_OPERADOR","ESTADO","BACIA","BLOCO","SIG_CAMPO","CAMPO","TERRA_MAR","POCO_POS_ANP","TIPO","CATEGORIA","RECLASSIFICACAO","SITUACAO","INICIO","TERMINO","CONCLUSAO","TITULARIDADE","LATITUDE_BASE_4C","LONGITUDE_BASE_4C","LATITUDE_BASE_DD","LONGITUDE_BASE_DD","DATUM_HORIZONTAL","TIPO_DE_COORDENADA_DE_BASE","DIRECAO","PROFUNDIDADE_VERTICAL_M","PROFUNDIDADE_SONDADOR_M","PROFUNDIDADE_MEDIDA_M","REFERENCIA_DE_PROFUNDIDADE","MESA_ROTATIVA","COTA_ALTIMETRICA_M","LAMINA_D_AGUA_M","DATUM_VERTICAL","UNIDADE_ESTRATIGRAFICA","GEOLOGIA_GRUPO_FINAL","GEOLOGIA_FORMACAO_FINAL","GEOLOGIA_MEMBRO_FINAL","CDPE","AGP","PC","PAG","PERFIS_CONVENCIONAIS","DURANTE_PERFURACAO","PERFIS_DIGITAIS","PERFIS_PROCESSADOS","PERFIS_ESPECIAIS","AMOSTRA_LATERAL","SISMICA","TABELA_TEMPO_PROFUNDIDADE","DADOS_DIRECIONAIS","TESTE_A_CABO","TESTE_DE_FORMACAO","CANHONEIO","TESTEMUNHO","GEOQUIMICA","SIG_SONDA","NOM_SONDA","DHA_ATUALIZACAO","Begin_Year","Conclusion_Year","End_Year","Type","Success","munic_code_orthogonal","munic_code_parallel"
"5779",NA,NA,6253,"7-DJ-452-BA",202400162900,"Petrobras","7DJ  0452  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","6/28/1964 0:00","6/29/1964 0:00","6/29/1964 0:00","Público","-12:38:32,650","-38:38:38,304",-12.6424027777,-38.6439733333,"SIRGAS2000","Definitiva","Vertical",NA,330.2,NA,"MR",5.4,NA,3.4,"NM",NA,"","","","","Existe","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
"5780",NA,NA,6254,"7-DJ-450-BA",202400162700,"Petrobras","7DJ  0450  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","6/25/1964 0:00","6/26/1964 0:00","6/26/1964 0:00","Público","-12:38:22,230","-38:38:53,430",-12.6395083333,-38.648175,"SIRGAS2000","Definitiva","Vertical",NA,330,NA,"MR",4.9,NA,2.9,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
"5781",NA,NA,6255,"8-DJ-449-BA",202400162600,"Petrobras","8DJ  0449  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Injeção","INJEÇÃO DE ÁGUA","ABANDONADO PERMANENTEMENTE","6/24/1964 0:00","6/26/1964 0:00","6/26/1964 0:00","Público","-12:38:25,936","-38:38:59,826",-12.6405377777,-38.6499516666,"SIRGAS2000","Definitiva","Vertical",NA,377.5,NA,"MR",4.8,NA,1.8,"NM",NA,"","","","","Existe","","","","","Existe","","","","","","","","","","","","SC-55","SONDA CONVENCIONAL 55","3/1/2020 5:00",1964,1964,1964,"Development","Other",NA,NA
"5782",NA,NA,6256,"7-DJ-448-BA",202400162400,"Petrobras","7DJ  0448  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","6/21/1964 0:00","6/23/1964 0:00","6/23/1964 0:00","Público","-12:38:12,582","-38:39:08,376",-12.6368283333,-38.6523266666,"SIRGAS2000","Definitiva","Vertical",NA,330,NA,"MR",5.19999,NA,3.2,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
"5783",NA,NA,6257,"7-DJ-447-BA",202400162300,"Petrobras","7DJ  0447  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","6/20/1964 0:00","6/22/1964 0:00","6/22/1964 0:00","Público","-12:38:07,265","-38:39:44,709",-12.6353513888,-38.6624191666,"SIRGAS2000","Definitiva","Vertical",NA,332.3,NA,"MR",4.8,NA,1.8,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-55","SONDA CONVENCIONAL 55","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
"5784",NA,NA,6258,"7-DJ-446-BA",202400162100,"Petrobras","7DJ  0446  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","6/17/1964 0:00","6/18/1964 0:00","6/18/1964 0:00","Público","-12:38:00,377","-38:39:49,143",-12.6334380555,-38.6636508333,"SIRGAS2000","Definitiva","Vertical",NA,330,NA,"MR",5.19999,NA,3.2,"NM",NA,"","","","","Existe","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
"5785",NA,NA,1556,"7-SER-23D-RNS",72101023263,"Petrobras","7SER23DRNS","RN","Potiguar","SER","SER  ","SERRA","M","S","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","PRODUZINDO","8/16/2008 0:00","9/19/2008 0:00","10/17/2008 0:00","Público","-05:05:16,724","-36:33:17,746",-5.0879788888,-36.5549294444,"SIRGAS2000","Definitiva","Direcional",0,3070,3070,"MR",10.87,0,2.97,"NM",NA,"","","","Existe","","","","","Existe","","","","","","","Existe","","","","","","QG-02","QUEIROZ GALVÃO 02","3/1/2020 5:00",2008,2008,2008,"Development","Successfull",NA,NA
"5786",NA,NA,4811,"7-DJ-710-BA",202400366400,"Petrobras","7DJ  0710  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","8/16/1982 0:00","8/22/1982 0:00","8/22/1982 0:00","Público","-12:42:39,850","-38:40:43,260",-12.7110694444,-38.6786833333,"SIRGAS2000","Definitiva","Vertical",NA,380,NA,"MR",6.09999,NA,1.4,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","Existe","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1982,1982,1982,"Development","Successfull",NA,NA
"5787",NA,NA,6261,"8-DJ-442-BA",202400161600,"Petrobras","8DJ  0442  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Injeção","INJEÇÃO DE ÁGUA","ABANDONADO PERMANENTEMENTE","6/10/1964 0:00","6/12/1964 0:00","6/12/1964 0:00","Público","-12:38:13,331","-38:39:14,182",-12.6370363888,-38.6539394444,"SIRGAS2000","Definitiva","Vertical",NA,373,NA,"MR",5.19999,NA,3.2,"NM",NA,"","","","","Existe","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1964,1964,1964,"Development","Other",NA,NA
"5788",NA,NA,6263,"7-DJ-440-BA",202400161400,"Petrobras","7DJ  0440  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","6/6/1964 0:00","6/9/1964 0:00","6/9/1964 0:00","Público","-12:39:06,846","-38:40:24,349",-12.6519016666,-38.6734302777,"SIRGAS2000","Definitiva","Vertical",NA,330,NA,"MR",4.59999,NA,2.6,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
