point,latitude,longitude,state,radians_parallel,length_parallel,radians_orthogonal,length_orthogonal
58,-23.58,-45.279999,SP1,0,0.86000001,0,1.3
323,-23.370001,-44.73,SP1,0,,0,
297,-23.22135,-44.432171,SP1,0,,0,
298,-25.191,-48.045601,SP2,0,,0,4.4499998
318,-25.191,-48.045601,SP2,0,4.5999999,0,
50,-25.049999,-47.91,SP2,0,4.3499999,0,0.40000001
51,-24.67,-47.419998,SP2,0,3.5999999,0,1.58
52,-24.450001,-47.080002,SP2,0,3.24,0,2.3099999
53,-24.25,-46.900002,SP2,0,3.03,0,2.8699999
55,-24.139999,-46.709999,SP2,0,2.5599999,0,3.1500001
56,-24.09,-46.610001,SP2,0,2.45,0,3.46
54,-24,-46.389999,SP2,0,2.1600001,0,3.72
57,-23.99,-46.310001,SP2,0,,0,3.96
257,-23.969999,-46.360001,SP2,0,,0,4
64,-23.969999,-45.25,SP2,0,,0,
62,-23.91,-45.459999,SP2,0,,0,3.5699999
258,-23.860001,-46.130001,SP2,0,,0,3.97
63,-23.76,-45.84,SP2,0,,0,3.8099999
